term_id	slug	name	parent_slug
500	heubedampfer-beratung	Beratung Heubedampfer	
509	heufeuchtemesser-beratung	Beratung Heufeuchtemesser	
638	heulagerung-beratung	Beratung Heulagerung	
514	heunetze-beratung	Beratung Heunetze	
1000	heunetze-fuer-anhaenger-beratung	Beratung Heunetze für Anhänger	
495	heunetze-fuer-staubarmes-heu-beratung	Beratung Heunetze für staubarmes Heu	
505	heupruefer-beratung	Beratung Heuprüfer	
524	heuraufen-beratung	Beratung Heuraufen	
452	heuraufen-fuer-weiden-beratung	Beratung Heuraufen für Weiden	
538	heuspender-beratung	Beratung Heuspender	
534	heutaschen-beratung	Beratung Heutaschen	
25	pferdedecken-high-neck-decken-beratung	Beratung High-Neck-Decken	
901	hindernisstangen-beratung	Beratung Hindernisstangen	
287	hoflader-zubehoer-beratung	Beratung Hoflader Zubehör	
282	hoftraktoren-beratung	Beratung Hoftraktoren	
982	holz-poly-pferdeanhaenger-beratung	Beratung Holz-Poly-Pferdeanhänger	
434	holzzaeune-fuer-pferde-beratung	Beratung Holzzäune für Pferde	
1091	hufberatung-beratung	Beratung Hufberatung	
686	huffett-beratung	Beratung Huffett	
681	hufoel-beratung	Beratung Huföl	
691	hufschuhe-beratung	Beratung Hufschuhe	
611	hufzusaetze-beratung	Beratung Hufzusätze	
820	insektenschutz-fuers-pferd-beratung	Beratung Insektenschutz fürs Pferd	
480	isolierte-wasserleitungen-beratung	Beratung Isolierte Wasserleitungen	
924	jungpferde-ausruestung-beratung	Beratung Jungpferde-Ausrüstung	
939	jungpferde-decken-beratung	Beratung Jungpferde-Decken	
161	kameras-im-stall-beratung	Beratung Kameras im Stall	
868	kappzaum-beratung	Beratung Kappzaum	
72	kardaetschen-beratung	Beratung Kardätschen	
52	halfter-und-stricke-knotenhalfter-beratung	Beratung Knotenhalfter	
834	knotenhalfter-fuer-bodenarbeit-beratung	Beratung Knotenhalfter für Bodenarbeit	
190	krippen-fuer-pferdeboxen-beratung	Beratung Krippen für Pferdeboxen	
724	kuehlgamaschen-beratung	Beratung Kühlgamaschen	
752	gesundheit-regeneration-kuehlgamaschen-beratung	Beratung Kühlgamaschen	
438	kunststoffzaeune-fuer-pferde-beratung	Beratung Kunststoffzäune für Pferde	
231	liegeflaechen-im-offenstall-beratung	Beratung Liegeflächen im Offenstall	
848	longiergurte-beratung	Beratung Longiergurte	
853	longierleinen-beratung	Beratung Longierleinen	
858	longierpeitschen-beratung	Beratung Longierpeitschen	
166	luefter-im-stall-beratung	Beratung Lüfter im Stall	
606	magenfutter-beratung	Beratung Magenfutter	
762	magnetfelddecken-beratung	Beratung Magnetfelddecken	
591	mash-beratung	Beratung Mash	
757	massagegeraete-beratung	Beratung Massagegeräte	
648	maeusesichere-futterboxen-beratung	Beratung Mäusesichere Futterboxen	
567	mineralbar-im-stall-beratung	Beratung Mineralbar im Stall	
543	mineralfutter-fuer-pferde-beratung	Beratung Mineralfutter für Pferde	
563	mineralfutterspender-beratung	Beratung Mineralfutterspender	
548	minerallecksteine-beratung	Beratung Minerallecksteine	
208	mistboy-beratung	Beratung Mistboy	
217	mistcontainer-beratung	Beratung Mistcontainer	
743	mistgabeln-hygiene-beratung	Beratung Mistgabeln Hygiene	
221	mistlagerung-beratung	Beratung Mistlagerung	
457	mobile-heuraufen-beratung	Beratung Mobile Heuraufen	
259	mobile-unterstaende-beratung	Beratung Mobile Unterstände	
430	mobile-weidezaeune-beratung	Beratung Mobile Weidezäune	
571	mueslis-fuer-pferde-beratung	Beratung Müslis für Pferde	
301	nachsaat-fuer-pferdeweiden-beratung	Beratung Nachsaat für Pferdeweiden	
397	netzgeraete-fuer-weidezaeune-beratung	Beratung Netzgeräte für Weidezäune	
1105	notfallcheckliste-beratung	Beratung Notfallcheckliste	
1053	notfallsets-fuer-fahrten-beratung	Beratung Notfallsets für Fahrten	
241	offenstall-bodenbefestigung-beratung	Beratung Offenstall-Bodenbefestigung	
1588	offenstallbau-beratung	Beratung Offenstallbau	
226	offenstallraufen-beratung	Beratung Offenstallraufen	
236	offenstalltore-beratung	Beratung Offenstalltore	
615	oele-fuer-pferde-beratung	Beratung Öle für Pferde	
1593	paddockbau-beratung	Beratung Paddockbau	
442	paddockzaeune-beratung	Beratung Paddockzäune	
738	parasitenmittel-stall-beratung	Beratung Parasitenmittel Stall	
576	pellets-beratung	Beratung Pellets	
1049	checklisten-fuer-pferdeanhaenger-beratung	Beratung Pferdeanhänger	
987	pferdeanhaenger-mit-sattelkammer-beratung	Beratung Pferdeanhänger mit Sattelkammer	
64	pferdebuersten-beratung	Beratung Pferdebürsten	
1066	pferdehaftpflicht-beratung	Beratung Pferdehaftpflicht	
1111	pferdehaltung-grundlagen-beratung	Beratung Pferdehaltung Grundlagen	
1578	pferdesaettel-beratung	Beratung Pferdesättel	
1037	putzboxen-fuers-turnier-beratung	Beratung Putzboxen fürs Turnier	
194	putzplatzmatten-beratung	Beratung Putzplatzmatten	
1008	rampenmatten-beratung	Beratung Rampenmatten	
10	pferdedecken-regendecken-beratung	Beratung Regendecken	
1068	reitbeteiligungsvertrag-beratung	Beratung Reitbeteiligungsvertrag	
129	reithalfter-beratung	Beratung Reithalfter	
138	reithandschuhe-beratung	Beratung Reithandschuhe	
133	reithelme-beratung	Beratung Reithelme	
1598	reitplatzbau-beratung	Beratung Reitplatzbau	
345	reitplatzbeleuchtung-beratung	Beratung Reitplatzbeleuchtung	
350	reitplatzbewaesserung-beratung	Beratung Reitplatzbewässerung	
377	reitplatzbewaesserung-mobil-beratung	Beratung Reitplatzbewässerung mobil	
330	reitplatzboden-beratung	Beratung Reitplatzboden	
335	reitplatzdrainage-beratung	Beratung Reitplatzdrainage	
359	reitplatzplaner-beratung	Beratung Reitplatzplaner	
364	reitplatzschleppe-beratung	Beratung Reitplatzschleppe	
354	reitplatzspiegel-beratung	Beratung Reitplatzspiegel	
340	reitplatzumrandung-beratung	Beratung Reitplatzumrandung	
142	reitstiefel-beratung	Beratung Reitstiefel	
1020	rutschfeste-anhaengermatten-beratung	Beratung Rutschfeste Anhängermatten	
791	rutschfeste-stallmatten-fuer-senioren-beratung	Beratung Rutschfeste Stallmatten für Senioren	
553	salzlecksteine-beratung	Beratung Salzlecksteine	
373	sandverteiler-beratung	Beratung Sandverteiler	
1088	sattelanpassung-beratung-beratung	Beratung Sattelanpassung Beratung	
80	satteldecken-beratung	Beratung Satteldecken	
89	sattelgurte-beratung	Beratung Sattelgurte	
98	sattelschraenke-beratung	Beratung Sattelschränke	
102	satteltransport-beratung	Beratung Satteltransport	
85	schabracken-beratung	Beratung Schabracken	
466	schattensegel-fuer-pferde-beratung	Beratung Schattensegel für Pferde	
76	schermaschinen-beratung	Beratung Schermaschinen	
715	gesundheit-fellpflege-und-saison-schermaschinen-beratung	Beratung Schermaschinen	
212	schubkarren-beratung	Beratung Schubkarren	
786	seniorendecken-beratung	Beratung Seniorendecken	
776	seniorenfutter-beratung	Beratung Seniorenfutter	
596	gesundheit-senioren-seniorenfutter-beratung	Beratung Seniorenfutter	
56	halfter-und-stricke-sicherheitshalfter-beratung	Beratung Sicherheitshalfter	
943	sicherheitshalfter-beratung	Beratung Sicherheitshalfter	
146	sicherheitswesten-beratung	Beratung Sicherheitswesten	
519	slowfeeder-beratung	Beratung Slowfeeder	
313	solar-weidepumpen-beratung	Beratung Solar-Weidepumpen	
387	solar-weidezaungeraete-beratung	Beratung Solar-Weidezaungeräte	
125	sperrriemen-beratung	Beratung Sperrriemen	
896	springstaender-beratung	Beratung Springständer	
558	spurenelemente-beratung	Beratung Spurenelemente	
1084	stallbau-beratung-beratung	Beratung Stallbau Beratung	
151	stallbeleuchtung-beratung	Beratung Stallbeleuchtung	
30	pferdedecken-stalldecken-beratung	Beratung Stalldecken	
48	halfter-und-stricke-stallhalfter-beratung	Beratung Stallhalfter	
748	stallmatten-reiniger-beratung	Beratung Stallmatten-Reiniger	
1095	stallwechsel-checkliste-beratung	Beratung Stallwechsel	
891	stangenhalter-beratung	Beratung Stangenhalter	
94	steigbuegel-beratung	Beratung Steigbügel	
948	stressarme-ausruestung-beratung	Beratung Stressarme Ausrüstung	
68	striegel-beratung	Beratung Striegel	
1029	stuetzraeder-beratung	Beratung Stützräder	
485	thermotraenken-beratung	Beratung Thermotränken	
910	trail-elemente-beratung	Beratung Trail-Elemente	
882	trail-hindernisse-beratung	Beratung Trail-Hindernisse	
1130	trainingsplan-vorlage-beratung	Beratung Trainingsplan Vorlage	
958	trainingsplaene-problempferde-beratung	Beratung Trainingspläne Problempferde	
905	trainingszubehoer-beratung	Beratung Trainingszubehör	
624	traenkeeimer-beratung	Beratung Tränkeeimer	
991	transportgamaschen-beratung	Beratung Transportgamaschen	
1072	transportrecht-pferde-beratung	Beratung Transportrecht Pferde	
1041	transporttaschen-beratung	Beratung Transporttaschen	
250	trennwaende-im-offenstall-beratung	Beratung Trennwände im Offenstall	
1583	trensen-beratung	Beratung Trensen	
1033	turnierboxen-beratung	Beratung Turnierboxen	
1103	turniercheckliste-beratung	Beratung Turniercheckliste	
1045	turnierplaner-beratung	Beratung Turnierplaner	
1062	tuev-beim-pferdeanhaenger-beratung	Beratung TÜV beim Pferdeanhänger	
20	pferdedecken-uebergangsdecken-beratung	Beratung Übergangsdecken	
34	pferdedecken-unterdecken-beratung	Beratung Unterdecken	
277	unterstand-beleuchtung-beratung	Beratung Unterstand-Beleuchtung	
268	unterstand-boden-beratung	Beratung Unterstand-Boden	
824	verbandskoffer-beratung	Beratung Verbandskoffer	
719	verbandsmaterial-beratung	Beratung Verbandsmaterial	
1016	verladehilfen-beratung	Beratung Verladehilfen	
1012	verladestangen-beratung	Beratung Verladestangen	
1004	verladetraining-zubehoer-beratung	Beratung Verladetraining Zubehör	
767	waermedecken-beratung	Beratung Wärmedecken	
733	waschmittel-fuer-pferdedecken-beratung	Beratung Waschmittel für Pferdedecken	
203	waschplatz-fuer-pferde-beratung	Beratung Waschplatz für Pferde	
170	wasserleitungen-im-stall-beratung	Beratung Wasserleitungen im Stall	
322	wassertroege-fuer-weiden-beratung	Beratung Wassertröge für Weiden	
620	weide-wassertanks-beratung	Beratung Weide-Wassertanks	
318	weidebrunnen-beratung	Beratung Weidebrunnen	
1099	weidecheckliste-beratung	Beratung Weidecheckliste	
326	weidekameras-beratung	Beratung Weidekameras	
410	weidezaeune-weidelitze-beratung	Beratung Weidelitze	
1113	weidemanagement-grundlagen-beratung	Beratung Weidemanagement Grundlagen	
297	weidepflegegeraete-beratung	Beratung Weidepflegegeräte	
305	weideschleppen-beratung	Beratung Weideschleppen	
414	weidezaeune-weideseil-beratung	Beratung Weideseil	
447	weidetore-beratung	Beratung Weidetore	
470	weidetraenken-beratung	Beratung Weidetränken	
255	weideunterstaende-beratung	Beratung Weideunterstände	
309	weidewalzen-beratung	Beratung Weidewalzen	
406	weidezaeune-weidezaunband-beratung	Beratung Weidezaunband	
292	weidezaungeraete-beratung	Beratung Weidezaungeräte	
382	weide-zauntechnik-weidezaungeraete-beratung	Beratung Weidezaungeräte	
462	weidezelt-beratung	Beratung Weidezelt	
263	windschutz-fuer-pferde-beratung	Beratung Windschutz für Pferde	
15	pferdedecken-winterdecken-beratung	Beratung Winterdecken	
418	weidezaeune-zaunpfosten-beratung	Beratung Zaunpfosten	
657	zeitschalt-futterautomaten-beratung	Beratung Zeitschalt-Futterautomaten	
121	zuegel-beratung	Beratung Zügel	
966	1-5er-pferdeanhaenger-faq	FAQ 1,5er Pferdeanhänger	
971	2er-pferdeanhaenger-faq	FAQ 2er Pferdeanhänger	
976	alu-pferdeanhaenger-faq	FAQ Alu-Pferdeanhänger	
198	anbindebalken-faq	FAQ Anbindebalken	
1056	anhaengerbeleuchtung-faq	FAQ Anhängerbeleuchtung	
994	anhaengerkameras-faq	FAQ Anhängerkameras	
1023	anhaengerkupplungen-faq	FAQ Anhängerkupplungen	
952	anti-scheuer-schutz-faq	FAQ Anti-Scheuer-Schutz	
1116	ausruestung-grundlagen-faq	FAQ Ausrüstung Grundlagen	
627	automatische-traenken-faq	FAQ Automatische Tränken	
368	bahnplaner-faq	FAQ Bahnplaner	
914	balance-pads-faq	FAQ Balance-Pads	
771	bandagen-zur-regeneration-faq	FAQ Bandagen zur Regeneration	
391	batterie-weidezaungeraete-faq	FAQ Batterie-Weidezaungeräte	
962	bodenarbeitshilfen-faq	FAQ Bodenarbeitshilfen	
828	bodenarbeitsseile-faq	FAQ Bodenarbeitsseile	
871	bodenstangen-faq	FAQ Bodenstangen	
179	boxengitter-faq	FAQ Boxengitter	
184	boxenmatten-faq	FAQ Boxenmatten	
174	boxentueren-faq	FAQ Boxentüren	
809	bremsenfallen-faq	FAQ Bremsenfallen	
704	gesundheit-insekten-und-schutz-bremsenfallen-faq	FAQ Bremsenfallen	
272	dachrinnen-am-unterstand-faq	FAQ Dachrinnen am Unterstand	
795	decken-fuer-seniorenpferde-faq	FAQ Decken für Seniorenpferde	
38	pferdedecken-deckengurte-faq	FAQ Deckengurte	
43	pferdedecken-deckentaschen-und-aufbewahrung-faq	FAQ Deckentaschen und Aufbewahrung	
727	desinfektionsmittel-fuer-stall-faq	FAQ Desinfektionsmittel für Stall	
600	diaetfutter-faq	FAQ Diätfutter	
862	doppellonge-faq	FAQ Doppellonge	
666	dosierer-fuer-futter-faq	FAQ Dosierer für Futter	
885	dressurviereck-buchstaben-faq	FAQ Dressurviereck Buchstaben	
843	dualgassen-faq	FAQ Dualgassen	
876	training-bodenhindernisse-dualgassen-faq	FAQ Dualgassen	
1069	einstellvertrag-vorlagen-faq	FAQ Einstellvertrag Vorlagen	
814	ekzemerdecken-faq	FAQ Ekzemerdecken	
709	gesundheit-insekten-und-schutz-ekzemerdecken-faq	FAQ Ekzemerdecken	
421	elektrozaeune-fuer-pferde-faq	FAQ Elektrozäune für Pferde	
105	englische-trensen-faq	FAQ Englische Trensen	
401	erdung-beim-weidezaun-faq	FAQ Erdung beim Weidezaun	
425	festzaeune-fuer-pferde-faq	FAQ Festzäune für Pferde	
804	fliegenmasken-faq	FAQ Fliegenmasken	
699	gesundheit-insekten-und-schutz-fliegenmasken-faq	FAQ Fliegenmasken	
799	fliegensprays-faq	FAQ Fliegensprays	
694	gesundheit-insekten-und-schutz-fliegensprays-faq	FAQ Fliegensprays	
59	halfter-und-stricke-fohlenhalfter-faq	FAQ Fohlenhalfter	
918	fohlenhalfter-faq	FAQ Fohlenhalfter	
671	fressbremsen-faq	FAQ Fressbremsen	
245	fressstaender-im-offenstall-faq	FAQ Fressständer im Offenstall	
489	frostschutz-fuer-weidetraenken-faq	FAQ Frostschutz für Weidetränken	
474	traenken-und-wasser-frostsichere-pferdetraenken-faq	FAQ frostsichere Pferdetränken	
155	frostwaechter-faq	FAQ Frostwächter	
933	fuehrtraining-zubehoer-faq	FAQ Führtraining-Zubehör	
651	futterautomaten-faq	FAQ Futterautomaten	
642	futterkammer-regale-faq	FAQ Futterkammer-Regale	
1124	futterplan-vorlagen-faq	FAQ Futterplan Vorlagen	
632	futtersilos-faq	FAQ Futtersilos	
675	futterstationen-faq	FAQ Futterstationen	
585	futtertonnen-faq	FAQ Futtertonnen	
1106	futterumstellung-checkliste-faq	FAQ Futterumstellung	
1118	fuetterung-grundlagen-faq	FAQ Fütterung Grundlagen	
1079	fuetterungsberatung-faq	FAQ Fütterungsberatung	
661	futterwaagen-faq	FAQ Futterwaagen	
838	gassen-fuer-bodenarbeit-faq	FAQ Gassen für Bodenarbeit	
110	gebisse-faq	FAQ Gebisse	
115	gebisslose-zaeumungen-faq	FAQ Gebisslose Zäumungen	
780	gesundheit-senioren-gelenkergaenzer-fuer-senioren-faq	FAQ Gelenkergänzer für Senioren	
1120	gesundheitsvorsorge-grundlagen-faq	FAQ Gesundheitsvorsorge Grundlagen	
928	gewoehnungssachen-faq	FAQ Gewöhnungssachen	
580	hafer-faq	FAQ Hafer	
1075	haftung-im-stall-faq	FAQ Haftung im Stall	
1081	haltungsberatung-faq	FAQ Haltungsberatung	
528	heuballenraufen-faq	FAQ Heuballenraufen	
499	heubedampfer-faq	FAQ Heubedampfer	
508	heufeuchtemesser-faq	FAQ Heufeuchtemesser	
637	heulagerung-faq	FAQ Heulagerung	
513	heunetze-faq	FAQ Heunetze	
999	heunetze-fuer-anhaenger-faq	FAQ Heunetze für Anhänger	
494	heunetze-fuer-staubarmes-heu-faq	FAQ Heunetze für staubarmes Heu	
504	heupruefer-faq	FAQ Heuprüfer	
523	heuraufen-faq	FAQ Heuraufen	
451	heuraufen-fuer-weiden-faq	FAQ Heuraufen für Weiden	
537	heuspender-faq	FAQ Heuspender	
533	heutaschen-faq	FAQ Heutaschen	
24	pferdedecken-high-neck-decken-faq	FAQ High-Neck-Decken	
900	hindernisstangen-faq	FAQ Hindernisstangen	
286	hoflader-zubehoer-faq	FAQ Hoflader Zubehör	
281	hoftraktoren-faq	FAQ Hoftraktoren	
981	holz-poly-pferdeanhaenger-faq	FAQ Holz-Poly-Pferdeanhänger	
433	holzzaeune-fuer-pferde-faq	FAQ Holzzäune für Pferde	
1090	hufberatung-faq	FAQ Hufberatung	
685	huffett-faq	FAQ Huffett	
680	hufoel-faq	FAQ Huföl	
690	hufschuhe-faq	FAQ Hufschuhe	
610	hufzusaetze-faq	FAQ Hufzusätze	
819	insektenschutz-fuers-pferd-faq	FAQ Insektenschutz fürs Pferd	
479	isolierte-wasserleitungen-faq	FAQ Isolierte Wasserleitungen	
923	jungpferde-ausruestung-faq	FAQ Jungpferde-Ausrüstung	
938	jungpferde-decken-faq	FAQ Jungpferde-Decken	
